brand,country,count,MST 1,MST 2,MST 3,MST 4,MST 5,MST 6,MST 7,MST 8,MST 9,MST 10
OAP,India,4,5.891864529440749,92.09594034860804,1.1566310975609757,0.3515625,0.0390625,0.0,0.0,0.4649390243902439,0.0,0.0
OAP,Italy,206,7.169694868534092,75.19078264974078,6.5579689256768745,4.8156085292331,1.5823818312973807,0.36036322094751594,0.3802404476188622,3.5974131324632213,0.34554639448816393,0.0
OAP,Mexico,10,14.914930254375411,84.0802351162419,0.9794539187227868,0.0,0.0,0.0,0.0,0.025380710659898477,0.0,0.0
OAP,Spain,53,9.044528752316385,78.8725312928005,4.499070278866419,3.5094087979381494,1.450455907659375,0.2534126241571987,0.722001156233928,1.6360958757708803,0.012495314257153568,0.0
OAP,UK,357,3.8349754608006257,73.09658344704806,3.0360133750351,13.66138236408456,2.373724673781074,0.13050247152167474,0.7183131532337095,3.0523340484412236,0.09617100605397301,0.0
OAP,USA,94,4.134215653822517,56.87636106888824,8.17637169499131,11.6788117604408,2.3650699879114647,0.5382396956745122,3.3802633136825913,12.112906798735743,0.7377600258528207,0.0
PRADA,France,3,3.7032156894461985,72.79099722281195,16.663468987567622,0.0,0.0,0.0,0.0,6.842318100174225,0.0,0.0
PRADA,Germany,19,1.1079826551055785,64.68757720208106,9.493563822581914,0.6366827791147984,3.115677666394899,2.6065399977496173,4.246700749772426,12.554176424589295,1.5510987026104088,0.0
PRADA,Italy,4,3.7335696932309608,73.84070953491897,17.3648783728397,1.631941897146211,0.0,0.0,0.0,2.953004324806438,0.4758961770577128,0.0
PRADA,UK,52,0.335968616212463,87.68950234293051,2.8425806324868366,2.897098049735951,0.0,0.0,0.0,6.226415810726016,0.0,0.008434547908232119
PRADA,USA,6,1.40575732149438,80.66063543047305,2.4064530677779437,15.527154180254627,0.0,0.0,0.0,0.0,0.0,0.0
REDKEN,Germany,1,0.9523809523809524,99.04761904761905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REDKEN,Italy,16,4.4435383447002135,77.61525988160707,3.0314301028229123,8.851277011323742,6.0292890520694264,0.02920560747663551,0.0,0.0,0.0,0.0
REDKEN,Spain,4,15.399159663865547,68.91456582633053,1.6666666666666667,0.0,14.019607843137255,0.0,0.0,0.0,0.0,0.0
REDKEN,UK,7,8.540723981900452,76.97610294117648,0.33482142857142855,0.0,1.6483516483516483,0.8241758241758241,11.538461538461538,0.13736263736263737,0.0,0.0
REDKEN,USA,2,10.457516339869281,66.78262702930634,2.171621336706726,8.823529411764707,8.49673202614379,0.0,3.2679738562091507,0.0,0.0,0.0
VICHY,Brazil,4,0.9868421052631579,92.60290148448044,0.0,0.0,0.0,0.0,0.2136752136752137,6.196581196581197,0.0,0.0
VICHY,France,86,6.4067703664008215,81.71523815966056,1.2517840603512511,2.9838088879706284,0.5600918367137736,0.0,0.05495254932614272,6.485789278781464,0.5415648607953516,0.0
VICHY,Germany,377,5.880398389383376,85.15388920370619,0.5974170448108811,6.194966843209891,1.5679485255799395,0.01427112493672237,0.007564386072806281,0.580339605463117,0.0032048768370779904,0.0
VICHY,Mexico,3,19.37533459163806,80.62466540836193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VICHY,Spain,3,6.563238109445315,87.42414824759868,0.7458790184232118,4.043493034318723,1.2232415902140674,0.0,0.0,0.0,0.0,0.0
VICHY,UK,37,3.418947401332136,61.48516708970525,0.39870633384604265,16.223701753324995,10.271205327766914,0.0,0.44226044226044225,7.760011651764231,0.0,0.0
VICHY,USA,1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YSL,France,28,8.518766679599873,53.893672942077366,11.913953474716918,2.7773338795498126,2.4443549583797513,0.00728862973760933,1.5633154250685848,16.286721664809086,2.533015991381196,0.06157635467980295
YSL,Germany,72,12.771671952938773,62.060425888637205,3.94688437698533,4.643898670113293,4.0078394837135285,0.3126824279190416,2.3698749251654707,9.718021558847548,0.16870071567980402,0.0
YSL,Italy,52,13.884462659746118,48.78059120804661,8.796810249611555,7.423442516641531,2.6741158667665768,0.0,1.1887614669347937,14.743710808554248,2.441962673719807,0.06614254997875688
YSL,Mexico,3,5.081535677302597,87.77114846751637,4.562005826050769,2.122347066167291,0.0,0.0,0.0,0.46296296296296297,0.0,0.0
YSL,Spain,14,14.173957555272851,53.05796288237191,8.761772575113142,4.062041074980135,1.6454552835627003,0.0,0.5070028011204483,17.317806732888055,0.458128078817734,0.015873015873015872
YSL,UK,183,5.892507117128206,57.57647523303589,6.521860913088667,5.448636518397733,2.9566147689166185,0.07258181972375242,1.2770678933442916,15.59538443308691,4.634166376002456,0.02470492727547207
YSL,USA,261,9.449152599385885,60.529170902319585,1.815999706022738,2.859852449338737,2.788098567368757,0.7871131021392964,2.546398940890613,17.67694546437421,1.54664864051615,0.0006196276440245629
